1782296666 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   515m   2396Mi   
1782296666 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   498m   2406Mi   
1782296666 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   862m   2395Mi   
1782296666 spark spark-operator-controller-86d6fc858f-kcl26   2m     18Mi     
1782296666 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296666 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296666 kafka bench-brokers-0                             2444m   3794Mi   
1782296666 kafka bench-brokers-1                             2360m   3830Mi   
1782296666 kafka bench-brokers-2                             2326m   3827Mi   
1782296666 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296666 kafka latency-consumer-tncwh                      894m    196Mi    
1782296666 kafka producer-0-dvtbj                            350m    9Mi      
1782296666 kafka producer-1-5h7fd                            319m    10Mi     
1782296666 kafka producer-2-5rlgc                            355m    9Mi      
1782296666 kafka producer-3-gnvns                            314m    10Mi     
1782296666 kafka producer-4-nr4gx                            225m    10Mi     
1782296666 kafka producer-5-79h27                            239m    10Mi     
1782296666 kafka producer-6-pj9fd                            353m    9Mi      
1782296666 kafka producer-7-79bcw                            358m    9Mi      
1782296666 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   4m      260Mi    
1782296673 spark rtm-bench-driver                             134m   782Mi    
1782296673 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   509m   2376Mi   
1782296673 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   515m   2396Mi   
1782296673 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   498m   2406Mi   
1782296673 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   862m   2395Mi   
1782296673 spark spark-operator-controller-86d6fc858f-kcl26   2m     18Mi     
1782296673 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296673 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296673 kafka bench-brokers-0                             2444m   3794Mi   
1782296673 kafka bench-brokers-1                             2360m   3830Mi   
1782296673 kafka bench-brokers-2                             2326m   3827Mi   
1782296673 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296673 kafka latency-consumer-tncwh                      894m    196Mi    
1782296673 kafka producer-0-dvtbj                            350m    9Mi      
1782296673 kafka producer-1-5h7fd                            319m    10Mi     
1782296673 kafka producer-2-5rlgc                            355m    9Mi      
1782296673 kafka producer-3-gnvns                            314m    10Mi     
1782296673 kafka producer-4-nr4gx                            225m    10Mi     
1782296673 kafka producer-5-79h27                            239m    10Mi     
1782296673 kafka producer-6-pj9fd                            353m    9Mi      
1782296673 kafka producer-7-79bcw                            358m    9Mi      
1782296673 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   4m      260Mi    
1782296681 spark rtm-bench-driver                             104m   784Mi    
1782296681 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   544m   2377Mi   
1782296681 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   507m   2398Mi   
1782296681 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   548m   2416Mi   
1782296681 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   862m   2395Mi   
1782296681 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296681 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296681 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296681 kafka bench-brokers-0                             2627m   3857Mi   
1782296681 kafka bench-brokers-1                             2344m   3891Mi   
