1782322848 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322858 spark rtm-bench-driver                             8m     719Mi    
1782322858 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        590m   2366Mi   
1782322858 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        569m   2349Mi   
1782322858 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        580m   2334Mi   
1782322858 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        979m   2366Mi   
1782322858 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322858 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322858 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322865 spark rtm-bench-driver                             8m     719Mi    
1782322865 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        590m   2366Mi   
1782322865 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        569m   2349Mi   
1782322865 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        580m   2334Mi   
1782322865 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        979m   2366Mi   
1782322865 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322865 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322865 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322872 spark rtm-bench-driver                             98m     727Mi    
1782322872 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        593m    2367Mi   
1782322872 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        589m    2350Mi   
1782322872 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        601m    2340Mi   
1782322872 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1050m   2372Mi   
1782322872 spark spark-operator-controller-86d6fc858f-tgr57   2m      16Mi     
1782322872 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322872 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322878 spark rtm-bench-driver                             98m     727Mi    
1782322878 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        593m    2367Mi   
1782322878 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        589m    2350Mi   
1782322878 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        601m    2340Mi   
1782322878 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1050m   2372Mi   
1782322878 spark spark-operator-controller-86d6fc858f-tgr57   2m      16Mi     
1782322878 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322878 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322889 spark rtm-bench-driver                             6m     727Mi    
1782322889 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        592m   2366Mi   
1782322889 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        589m   2350Mi   
1782322889 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        580m   2340Mi   
1782322889 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        982m   2373Mi   
1782322889 spark spark-operator-controller-86d6fc858f-tgr57   2m     16Mi     
1782322889 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322889 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322897 spark rtm-bench-driver                             5m     727Mi    
1782322897 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        593m   2367Mi   
1782322897 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        560m   2349Mi   
